,ECO,fen,moves,opening_name
12,B03,rnbqkb1r/ppp1pp1p/1n1p4/4P1p1/2PP1P2/8/PP4PP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g5,"Alekhine Defense: Four Pawns Attack, Cambridge Gambit"
13,B03,rnbqkb1r/ppp1pp1p/1n1p2p1/4P3/2PP1P2/8/PP4PP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6,"Alekhine Defense: Four Pawns Attack, Fianchetto Variation"
14,B03,r2qkb1r/ppp1p1pp/1nn1p3/2P5/3P2b1/5N2/PP4PP/RNBQKB1R b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Nf3 Bg4 8. e6 fxe6 9. c5,"Alekhine Defense: Four Pawns Attack, Ilyin-Zhenevsky Variation"
15,B03,rn1q1rk1/ppp1b1pp/1n2pp2/4Pb2/2PP4/2N2N2/PP2B1PP/R1BQ1RK1 w -,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Nf3 Be7 9. Be2 O-O 10. O-O f6,"Alekhine Defense: Four Pawns Attack, Korchnoi Variation"
16,B03,r1bqkb1r/ppp1pppp/1nn5/4P3/2PP4/4B3/PP4PP/RN1QKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3,"Alekhine Defense: Four Pawns Attack, Main Line"
17,B03,2kr3r/pppqbppp/1nn1p3/4Pb2/2PP4/2N1BN2/PP2B1PP/R2Q1RK1 w -,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Nf3 Qd7 10. Be2 O-O-O 11. O-O Be7,"Alekhine Defense: Four Pawns Attack, Tartakower Variation"
18,B03,rn1qkb1r/ppp1pppp/1n1p4/4Pb2/2PP1P2/8/PP4PP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 Bf5,"Alekhine Defense: Four Pawns Attack, Trifunovic Variation"
19,B03,rnbqkb1r/ppp1pppp/1n1p4/2P1P3/3P4/8/PP3PPP/RNBQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. c5,Alekhine Defense: Hunt Variation
20,B02,rnbqkb1r/pppp1ppp/4p3/2PnP3/2B5/2N5/PP1P1PPP/R1BQK1NR b KQkq,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3,"Alekhine Defense: Hunt Variation, Lasker Simul Gambit"
21,B02,rnbqkb1r/ppp1pppp/3p4/2P1P1B1/8/2P5/PP3PPP/R2QKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Nc3 Nxc3 6. dxc3 d6 7. Bg5,"Alekhine Defense: Hunt Variation, Matsukevich Gambit"
22,B02,rnbqkb1r/ppp2ppp/3p4/2PBP3/8/8/PP1P1PPP/R1BQK1NR b KQkq,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6 7. Nxd5 exd5 8. Bxd5,"Alekhine Defense: Hunt Variation, Mikenas Gambit"
23,B02,rnbqkb1r/pp1ppppp/1n6/2p1P3/8/1B1P4/PPP2PPP/RNBQK1NR b KQkq,1. e4 Nf6 2. e5 Nd5 3. Bc4 Nb6 4. Bb3 c5 5. d3,Alekhine Defense: Kmoch Variation
24,B02,rnbqkb1r/pppppppp/5n2/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq,1. e4 Nf6 2. Bc4,Alekhine Defense: Krejcik Variation
25,B02,rnbqkb1r/pppppBpp/8/8/4n3/8/PPPP1PPP/RNBQK1NR b KQkq,1. e4 Nf6 2. Bc4 Nxe4 3. Bxf7+,"Alekhine Defense: Krejcik Variation, Krejcik Gambit"
26,B02,rnbqkb1r/pppppppp/5n2/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq,1. e4 Nf6 2. d3,Alekhine Defense: Maroczy Variation
27,B04,rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3,Alekhine Defense: Modern Variation
28,B04,rnbqkb1r/ppp1pp1p/3p2p1/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6,"Alekhine Defense: Modern Variation, Alburt Variation"
29,B04,rn1qkb1r/ppp1pppp/1n1p4/4P3/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. Nf3 Bg4 6. Be2,"Alekhine Defense: Modern Variation, Alekhine Gambit"
30,B05,rn1qkb1r/ppp1pppp/3p4/3nP3/2PP2b1/5N2/PP3PPP/RNBQKB1R b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4,"Alekhine Defense: Modern Variation, Alekhine Variation"
31,B04,rnbqk2r/ppp1ppbp/1n1p2p1/4P3/P2P4/1B3N2/1PP2PPP/RNBQK2R b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6 5. Bc4 Nb6 6. Bb3 Bg7 7. a4,"Alekhine Defense: Modern Variation, Keres Variation"
32,B04,rnbqkb1r/ppp1pppp/8/3np3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 dxe5,"Alekhine Defense: Modern Variation, Larsen Variation"
33,B04,r1bqkb1r/ppp1pppp/2np4/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nc6,"Alekhine Defense: Modern Variation, Larsen-Haakert Variation"
34,B05,rn1qkb1r/ppp1pppp/3p4/3nP3/3P2b1/5N2/PPP2PPP/RNBQKB1R w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4,"Alekhine Defense: Modern Variation, Main Line"
35,B05,rn1qkb1r/ppp1pppp/3p4/3nP3/3P2b1/5N1P/PPP2PP1/RNBQKB1R b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. h3,"Alekhine Defense: Modern Variation, Panov Variation"
36,B04,rnbqkb1r/ppp1pppp/1n1p4/4P3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nb6,"Alekhine Defense: Modern Variation, Schmid Variation"
37,B05,rn1qkb1r/pp2pppp/2pp4/3nP3/3P2b1/5N2/PPP1BPPP/RNBQK2R w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. Be2 c6,"Alekhine Defense: Modern, Flohr Variation"
38,B05,rn1qkb1r/ppp1pppp/1n1p4/3PP3/2P3b1/5N2/PP3PPP/RNBQKB1R b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4 Nb6 6. d5,"Alekhine Defense: Modern, Vitolins Attack"
39,B02,rnbqkb1r/pppppppp/8/4P3/4n3/8/PPPP1PPP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Ne4,Alekhine Defense: Mokele Mbembe
40,B02,rnbqkb1r/ppppp1pp/5p2/4P3/3Pn3/8/PPP2PPP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Ne4 3. d4 f6,"Alekhine Defense: Mokele Mbembe, Modern Line"
41,B02,rnbqkb1r/pppp1ppp/4p3/4P3/3Pn3/8/PPP2PPP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Ne4 3. d4 e6,"Alekhine Defense: Mokele Mbembe, Vavra Defense"
42,B02,rnbqkb1r/pppppppp/8/3nP3/8/8/PPPP1PPP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Nd5,Alekhine Defense: Normal Variation
43,B03,rnbqkb1r/p1pppppp/8/1p1nP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 b5,Alekhine Defense: O'Sullivan Gambit
44,B02,rnbqkb1r/pppppppp/8/3nP3/8/2N5/PPPP1PPP/R1BQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. Nc3,Alekhine Defense: Saemisch Attack
45,B02,rnbqkb1r/ppp1pppp/5n2/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq,1. e4 Nf6 2. Nc3 d5,Alekhine Defense: Scandinavian Variation
46,B02,rnbqkb1r/pp2pppp/2p2n2/3P4/8/2N5/PPPP1PPP/R1BQKBNR w KQkq,1. e4 Nf6 2. Nc3 d5 3. exd5 c6,"Alekhine Defense: Scandinavian Variation, Geschev Gambit"
47,B02,rnbqkb1r/ppp1pppp/5n2/6B1/4p3/2NP4/PPP2PPP/R2QKBNR b KQkq,1. e4 Nf6 2. Nc3 d5 3. d3 dxe4 4. Bg5,"Alekhine Defense: Scandinavian Variation, Myers Gambit"
48,B02,rnbqkb1r/pppnpppp/4P3/3p4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq,1. e4 Nf6 2. Nc3 d5 3. e5 Nfd7 4. e6,Alekhine Defense: Spielmann Gambit
49,B02,rnbqkb1r/pppppppp/1n6/4P3/2P5/1P6/P2P1PPP/RNBQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. b3,Alekhine Defense: Steiner Variation
50,B02,rnbqkb1r/pppppppp/8/4P3/2P2n2/8/PP1P1PPP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Nd5 3. c4 Nf4,Alekhine Defense: The Squirrel
51,B02,rnbqkb1r/pppppppp/8/3nP3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. c4,Alekhine Defense: Two Pawn Attack
52,B02,rnbqkb1r/pppppppp/1n6/2P1P3/8/8/PP1P1PPP/RNBQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5,"Alekhine Defense: Two Pawn Attack, Lasker Variation"
53,B02,rnbqkb1r/ppp2ppp/3pp3/2PnP3/2B5/2N5/PP1P1PPP/R1BQK1NR w KQkq,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6,"Alekhine Defense: Two Pawns Attack, Mikenas Variation"
54,B02,rnbqkb1r/pppppppp/8/3nP3/8/1P6/P1PP1PPP/RNBQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. b3,Alekhine Defense: Welling Variation
55,A00,rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQK2R w KQkq,1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4,Amar Gambit
56,E00,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq,1. Nh3,Amar Opening
57,A00,rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq,1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3,Amar Opening: Gent Gambit
58,A00,rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq,1. Nh3 d5 2. g3 e5 3. f4,Amar Opening: Paris Gambit
59,D00,rnbqkbnr/ppp1pppp/8/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq,1. d4 d5 2. Qd3,Amazon Attack
60,D00,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2NQ4/PPP1PPPP/R1B1KBNR b KQkq,1. d4 Nf6 2. Nc3 d5 3. Qd3,Amazon Attack: Siberian Attack
61,A00,r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq,1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6,Amsterdam Attack
62,A00,rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq,1. a3,Anderssen Opening
63,A00,rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq,1. a3 a5 2. b4,Anderssen Opening: Polish Gambit
64,A40,r1bqkbnr/pppppppp/n7/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,1. d4 Na6,Australian Defense
65,B00,rnbqkbnr/ppppp1pp/5p2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,1. e4 f6,Barnes Defense
66,A00,rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq,1. f3 e5 2. g4 Qh4#,Barnes Opening: Fool's Mate
67,A00,rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq,1. f3 f5 2. e4 fxe4 3. Nc3,Barnes Opening: Gedult Gambit
68,A00,rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq,1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3,"Barnes Opening: Gedult Gambit, 3. d4 dxe4 4. c3"
69,A00,rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPPKPP/RNBQ1BNR b kq,1. f3 e5 2. Kf2,Barnes Opening: Hammerschlag
70,A00,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/5P2/PPPP2PP/RNBQK1NR b KQkq,1. f3 e5 2. e4 Nf6 3. Bc4,Barnes Opening: Walkerling
71,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5,Benko Gambit
72,A59,rn1qkb1r/4pp1p/3p1np1/2pP4/4P3/2N3P1/PP3P1P/R1BQ1KNR b kq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. e4 Bxf1 8. Kxf1 d6 9. g3,"Benko Gambit, 8. Kxf1 d6 9. g3"
73,A57,rnbqkb1r/3ppppp/p4n2/1PpP4/8/8/PP2PPPP/RNBQKBNR w KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6,Benko Gambit Accepted
74,A57,rn1qkb1r/3ppp1p/b4np1/2pP4/5P2/2N5/PP2P1PP/R1BQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. f4,"Benko Gambit Accepted, Central Storming Variation"
75,A57,rnbqkb1r/3ppppp/p4n2/1PpP4/8/5P2/PP2P1PP/RNBQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. f3,"Benko Gambit Accepted, Dlugy Variation"
76,A58,rn1qk2r/4ppbp/b2p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. g3 d6 8. Bg2 Bg7 9. Nf3,"Benko Gambit Accepted, Fianchetto Variation"
77,A58,rnbqkb1r/3ppppp/P4n2/2pP4/8/8/PP2PPPP/RNBQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6,"Benko Gambit Accepted, Fully Accepted Variation"
78,A59,rn1q1rk1/4ppbp/3p1np1/2pP4/4P3/2N2NP1/PP3PKP/R1BQ3R b -,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. Nf3 d6 8. e4 Bxf1 9. Kxf1 Bg7 10. g3 O-O 11. Kg2,"Benko Gambit Accepted, King Walk Variation"
79,A57,rnbqkb1r/3ppppp/p4n2/1PpP4/8/4P3/PP3PPP/RNBQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. e3,"Benko Gambit Accepted, Modern Variation"
80,A57,rnbqkb1r/3ppppp/pP3n2/2pP4/8/8/PP2PPPP/RNBQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. b6,"Benko Gambit Accepted, Pawn Return Variation"
81,A59,rn1qkb1r/4pp1p/3p1np1/2pP4/4P3/2N5/PP2NPPP/R1BQ1K1R b kq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. e4 Bxf1 8. Kxf1 d6 9. Nge2,"Benko Gambit Accepted, Yugoslav, with Bxf1 and Nge2"
82,A59,rn1qkb1r/4pppp/b2p1n2/2pP4/4P3/2N5/PP3PPP/R1BQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4,"Benko Gambit Accepted, Yugoslav, without 7... Bxf1"
83,A57,rnbqkb1r/p2ppppp/5n2/1ppP2B1/2P5/8/PP2PPPP/RN1QKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Bg5,"Benko Gambit Declined, Bishop Attack"
84,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P1P3/8/PP3PPP/RNBQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. e4,"Benko Gambit Declined, Hjoerring Countergambit"
85,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Nf3,"Benko Gambit Declined, Main Line"
86,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/5P2/PP2P1PP/RNBQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. f3,"Benko Gambit Declined, Pseudo-Saemisch"
87,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP1NPPPP/R1BQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Nd2,"Benko Gambit Declined, Quiet Line"
88,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/P1P5/8/1P2PPPP/RNBQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. a4,"Benko Gambit Declined, Sosonko Variation"
89,A58,rn1qkb1r/4pp1p/b2p1np1/2pP4/8/2N2NP1/PP2PP1P/R1BQKB1R b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. Nf3 g6 8. g3,Benko Gambit: Fianchetto Variation
90,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P3P1/8/PP2PP1P/RNBQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. g4,Benko Gambit: Mutkin Countergambit
91,A58,rn1qkb1r/4pp1p/b2p1np1/2pP4/8/2N5/PP1NPPPP/R1BQKB1R b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. Nf3 g6 8. Nd2,Benko Gambit: Nd2 Variation
92,A57,rnbqkb1r/4pppp/3p1n2/1NpP4/1pB1P3/8/PP3PPP/R1BQK1NR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5 d6 8. Bc4,Benko Gambit: Nescafe Frappe Attack
93,A58,rnbqkb1r/3ppppp/p4n2/1PpP4/8/2N5/PP2PPPP/R1BQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3,Benko Gambit: Zaitsev System
94,A57,rnbqkb1r/3ppppp/5n2/1NpP4/1p2P3/8/PP3PPP/R1BQKBNR b KQkq,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5,"Benko Gambit: Zaitsev Variation, Nescafe Frappe Attack"
95,A56,rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,1. d4 Nf6 2. c4 c5,Benoni Defense
96,A61,rnbqkb1r/pp3p1p/3p1np1/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R w KQkq,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6,"Benoni Defense, 5. cxd5 d6 6. Nc3 g6"
97,A43,rnbqkbnr/pp1ppppp/8/2P5/8/8/PPP1PPPP/RNBQKBNR b KQkq,1. d4 c5 2. dxc5,Benoni Defense: Benoni Gambit Accepted
98,A43,r1bqkbnr/pp1ppppp/n7/2P5/8/8/PPP1PPPP/RNBQKBNR w KQkq,1. d4 c5 2. dxc5 Na6,"Benoni Defense: Benoni Gambit, Schlenker Defense"
99,A43,rnbqkb1r/pp1ppppp/5n2/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq,1. d4 c5 2. d5 Nf6,Benoni Defense: Benoni-Indian Defense
100,A43,rnbqkb1r/pp1ppppp/5n2/2pP4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq,1. d4 Nf6 2. Nf3 c5 3. d5,"Benoni Defense: Benoni-Indian Defense, Kingside Move Order"
101,A43,rnbqkbnr/pp1pp1pp/8/2pP1p2/4P3/8/PPP2PPP/RNBQKBNR b KQkq,1. d4 c5 2. d5 f5 3. e4,Benoni Defense: Benoni-Staunton Gambit
102,A70,rnbqkb1r/pp3p1p/3p1np1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4,Benoni Defense: Classical Variation
103,A75,rn1q1rk1/1p3pbp/p2p1np1/2pP4/P3P1b1/2N2N2/1P2BPPP/R1BQ1RK1 w -,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. Be2 O-O 9. O-O a6 10. a4 Bg4,"Benoni Defense: Classical Variation, Argentine Counterattack"
104,A71,rnbqk2r/pp3pbp/3p1np1/2pP2B1/4P3/2N2N2/PP3PPP/R2QKB1R b KQkq,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. Bg5,"Benoni Defense: Classical Variation, Averbakh-Grivas Attack"
105,A76,rnbqr1k1/pp3pbp/3p1np1/2pP4/4P3/2N2N2/PP2BPPP/R1BQ1RK1 w -,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8,"Benoni Defense: Classical Variation, Czerniak Defense"
106,A78,r1bqr1k1/pp3pbp/n2p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w -,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2 Na6,"Benoni Defense: Classical Variation, Czerniak Defense, 9. O-O Re8 10. Nd2 Na6"
107,A79,r1bqr1k1/pp3pbp/n2p1np1/2pP4/4P3/2N2P2/PP1NB1PP/R1BQ1RK1 b -,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2 Na6 11. f3,"Benoni Defense: Classical Variation, Czerniak Defense, 10. Nd2 Na6 11. f3"
108,A77,rnbqr1k1/pp3pbp/3p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 b -,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2,"Benoni Defense: Classical Variation, Czerniak Defense, Tal Line"
109,A74,rnbq1rk1/1p3pbp/p2p1np1/2pP4/P3P3/2N2N2/1P2BPPP/R1BQ1RK1 b -,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O a6 10. a4,"Benoni Defense: Classical Variation, Full Line"
